region,clientLayoutId,layout
# Client layout numbering (f/Ve0 counts the ROM layout table 1-based) -> decomp LAYOUT_ id.
# Hoenn (region 1): the client id IS the pokeemerald layouts.json index.
# Kanto (region 0): the FireRed ROM table runs ahead of pokefirered's layouts.json (17 entries
# up to Viridian Forest, 18 after); each row below was fitted from the patch geometry
# (every override lands in a compact rectangle inside the named layout) - see the 2026-09-07
# session notes. Client id 10 (a 2-tile interior patch) is ambiguous and left unmapped.
0,83,LAYOUT_VERMILION_CITY
0,95,LAYOUT_ROUTE7
0,98,LAYOUT_ROUTE10
0,99,LAYOUT_ROUTE11
0,104,LAYOUT_ROUTE16
0,116,LAYOUT_MT_MOON_B2F
0,117,LAYOUT_VIRIDIAN_FOREST
0,126,LAYOUT_VICTORY_ROAD_1F
0,160,LAYOUT_SEAFOAM_ISLANDS_B3F
0,219,LAYOUT_ROUTE21_SOUTH
0,252,LAYOUT_SIX_ISLAND_WATER_PATH
0,256,LAYOUT_SEVEN_ISLAND_SEVAULT_CANYON
0,270,LAYOUT_THREE_ISLAND_BERRY_FOREST
0,280,LAYOUT_MT_EMBER_EXTERIOR
0,342,LAYOUT_BIRTH_ISLAND_EXTERIOR
1,18,LAYOUT_ROUTE102
1,19,LAYOUT_ROUTE103
1,20,LAYOUT_ROUTE104
1,26,LAYOUT_ROUTE110
1,27,LAYOUT_ROUTE111
1,28,LAYOUT_ROUTE112
1,30,LAYOUT_ROUTE114
1,31,LAYOUT_ROUTE115
1,32,LAYOUT_ROUTE116
1,33,LAYOUT_ROUTE117
1,34,LAYOUT_ROUTE118
1,35,LAYOUT_ROUTE119
1,36,LAYOUT_ROUTE120
1,37,LAYOUT_ROUTE121
1,39,LAYOUT_ROUTE123
1,43,LAYOUT_ROUTE127
1,63,LAYOUT_MART
1,65,LAYOUT_DEWFORD_TOWN_GYM
1,88,LAYOUT_HARBOR
1,132,LAYOUT_GRANITE_CAVE_1F
1,135,LAYOUT_PETALBURG_WOODS
1,136,LAYOUT_MT_CHIMNEY
1,163,LAYOUT_VICTORY_ROAD_1F
1,345,LAYOUT_BATTLE_FRONTIER_OUTSIDE_EAST
1,392,LAYOUT_ROUTE111_NO_MIRAGE_TOWER
