# The r32645 client's own move stats: the Gen 5 ROM move table (NARC a/0/2/1) with data.pak section 4 applied on top, rebuilt offline 2026-09-13.
# Accuracy 101 = never misses. Power 0/1 are the client's markers for status and variable-power moves.
id,type,category,power,accuracy,pp,priority
1,NORMAL,PHYSICAL,40,100,35,0
2,FIGHTING,PHYSICAL,50,100,25,0
3,NORMAL,PHYSICAL,15,85,10,0
4,NORMAL,PHYSICAL,18,85,15,0
5,NORMAL,PHYSICAL,80,85,20,0
6,NORMAL,PHYSICAL,40,100,20,0
7,FIRE,PHYSICAL,75,100,15,0
8,ICE,PHYSICAL,75,100,15,0
9,ELECTRIC,PHYSICAL,75,100,15,0
10,NORMAL,PHYSICAL,40,100,35,0
11,NORMAL,PHYSICAL,55,100,30,0
12,NORMAL,PHYSICAL,1,30,5,0
13,NORMAL,SPECIAL,80,100,10,0
14,NORMAL,STATUS,0,101,20,0
15,NORMAL,PHYSICAL,50,95,30,0
16,FLYING,SPECIAL,40,100,35,0
17,FLYING,PHYSICAL,60,100,35,0
18,NORMAL,STATUS,0,101,20,-6
19,FLYING,PHYSICAL,90,95,15,0
20,NORMAL,PHYSICAL,15,85,20,0
21,NORMAL,PHYSICAL,80,75,20,0
22,GRASS,PHYSICAL,45,100,25,0
23,NORMAL,PHYSICAL,65,100,20,0
24,FIGHTING,PHYSICAL,30,100,30,0
25,NORMAL,PHYSICAL,120,75,5,0
26,FIGHTING,PHYSICAL,100,95,10,0
27,FIGHTING,PHYSICAL,60,85,15,0
28,GROUND,STATUS,0,100,15,0
29,NORMAL,PHYSICAL,70,100,15,0
30,NORMAL,PHYSICAL,65,100,25,0
31,NORMAL,PHYSICAL,15,85,20,0
32,NORMAL,PHYSICAL,1,30,5,0
33,NORMAL,PHYSICAL,40,100,35,0
34,NORMAL,PHYSICAL,85,100,15,0
35,NORMAL,PHYSICAL,15,90,20,0
36,NORMAL,PHYSICAL,90,85,20,0
37,NORMAL,PHYSICAL,120,100,10,0
38,NORMAL,PHYSICAL,120,100,15,0
39,NORMAL,STATUS,0,100,30,0
40,POISON,PHYSICAL,15,100,35,0
41,BUG,PHYSICAL,25,100,20,0
42,BUG,PHYSICAL,25,95,20,0
43,NORMAL,STATUS,0,100,30,0
44,DARK,PHYSICAL,60,100,25,0
45,NORMAL,STATUS,0,100,40,0
46,NORMAL,STATUS,0,101,20,-6
47,NORMAL,STATUS,0,55,15,0
48,NORMAL,STATUS,0,55,20,0
49,NORMAL,SPECIAL,1,90,20,0
50,NORMAL,STATUS,0,100,20,0
51,POISON,SPECIAL,40,100,30,0
52,FIRE,SPECIAL,40,100,25,0
53,FIRE,SPECIAL,90,100,15,0
54,ICE,STATUS,0,101,30,0
55,WATER,SPECIAL,40,100,25,0
56,WATER,SPECIAL,110,80,5,0
57,WATER,SPECIAL,90,100,15,0
58,ICE,SPECIAL,90,100,10,0
59,ICE,SPECIAL,110,70,5,0
60,PSYCHIC,SPECIAL,65,100,20,0
61,WATER,SPECIAL,65,100,20,0
62,ICE,SPECIAL,65,100,20,0
63,NORMAL,SPECIAL,150,90,5,0
64,FLYING,PHYSICAL,35,100,35,0
65,FLYING,PHYSICAL,80,100,20,0
66,FIGHTING,PHYSICAL,80,80,20,0
67,FIGHTING,PHYSICAL,1,100,20,0
68,FIGHTING,PHYSICAL,1,100,20,-5
69,FIGHTING,PHYSICAL,1,100,20,0
70,NORMAL,PHYSICAL,80,100,15,0
71,GRASS,SPECIAL,20,100,25,0
72,GRASS,SPECIAL,40,100,15,0
73,GRASS,STATUS,0,90,10,0
74,NORMAL,STATUS,0,101,20,0
75,GRASS,PHYSICAL,55,95,25,0
76,GRASS,SPECIAL,120,100,10,0
77,POISON,STATUS,0,75,35,0
78,GRASS,STATUS,0,75,30,0
79,GRASS,STATUS,0,75,15,0
80,GRASS,SPECIAL,120,100,10,0
81,BUG,STATUS,0,95,40,0
82,DRAGON,SPECIAL,1,100,10,0
83,FIRE,SPECIAL,35,85,15,0
84,ELECTRIC,SPECIAL,40,100,30,0
85,ELECTRIC,SPECIAL,90,100,15,0
86,ELECTRIC,STATUS,0,90,20,0
87,ELECTRIC,SPECIAL,110,70,10,0
88,ROCK,PHYSICAL,50,90,15,0
89,GROUND,PHYSICAL,100,100,10,0
90,GROUND,PHYSICAL,1,30,5,0
91,GROUND,PHYSICAL,80,100,10,0
92,POISON,STATUS,0,90,10,0
93,PSYCHIC,SPECIAL,50,100,25,0
94,PSYCHIC,SPECIAL,90,100,10,0
95,PSYCHIC,STATUS,0,60,20,0
96,PSYCHIC,STATUS,0,101,40,0
97,PSYCHIC,STATUS,0,101,30,0
98,NORMAL,PHYSICAL,40,100,30,1
99,NORMAL,PHYSICAL,20,100,20,0
100,PSYCHIC,STATUS,0,101,20,-6
101,GHOST,SPECIAL,1,100,15,0
102,NORMAL,STATUS,0,101,10,0
103,NORMAL,STATUS,0,85,40,0
104,NORMAL,STATUS,0,101,15,0
105,NORMAL,STATUS,0,101,5,0
106,NORMAL,STATUS,0,101,30,0
107,NORMAL,STATUS,0,101,10,0
108,NORMAL,STATUS,0,100,20,0
109,GHOST,STATUS,0,100,10,0
110,WATER,STATUS,0,101,40,0
111,NORMAL,STATUS,0,101,40,0
112,PSYCHIC,STATUS,0,101,20,0
113,PSYCHIC,STATUS,0,101,30,0
114,ICE,STATUS,0,101,30,0
115,PSYCHIC,STATUS,0,101,20,0
116,NORMAL,STATUS,0,101,30,0
117,NORMAL,PHYSICAL,1,101,10,1
118,NORMAL,STATUS,0,101,10,0
119,FLYING,STATUS,0,101,20,0
