# Fling power per item and Natural Gift type/power per berry, extracted from pokeemerald-expansion src/data/items.h (.flingPower) and src/berry.c (.naturalGiftType/.naturalGiftPower).
name,fling_power,natural_gift_type,natural_gift_power
Ability Shield,30,,0
Abomasite,80,,0
Absolite Z,80,,0
Absolite,80,,0
Absorb Bulb,30,,0
Adamant Crystal,60,,0
Adamant Mint,10,,0
Adamant Orb,60,,0
Adrenaline Orb,30,,0
Aerodactylite,80,,0
Aggronite,80,,0
Aguav Berry,10,DRAGON,80
Air Balloon,10,,0
Alakazite,80,,0
Altarianite,80,,0
Amaze Mulch,30,,0
Ampharosite,80,,0
Amulet Coin,30,,0
Antidote,30,,0
Apicot Berry,10,GROUND,100
Armor Fossil,100,,0
Armorite Ore,30,,0
Aspear Berry,10,ICE,80
Assault Vest,80,,0
Audinite,80,,0
Auspicious Armor,30,,0
Awakening,30,,0
Babiri Berry,10,STEEL,80
Balm Mushroom,30,,0
Banettite,80,,0
Barbaracite,80,,0
Baxcalibrite,80,,0
Beedrillite,80,,0
Belue Berry,10,ELECTRIC,100
Berry Juice,30,,0
Berry Sweet,10,,0
Berserk Gene,10,,0
Big Bamboo Shoot,30,,0
Big Malasada,30,,0
Big Mushroom,30,,0
Big Nugget,813080,,0
Big Pearl,30,,0
Big Root,10,,0
Binding Band,30,,0
Black Augurite,30,,0
Black Belt,30,,0
Black Flute,30,,0
Black Glasses,30,,0
Black Sludge,30,,0
Blastoisinite,80,,0
Blazikenite,80,,0
Blue Flute,30,,0
Blue Scarf,10,,0
Blue Shard,30,,0
Bluk Berry,10,FIRE,90
Blunder Policy,80,,0
Bold Mint,10,,0
Boost Mulch,30,,0
Booster Energy,30,,0
Bottle Cap,30,,0
Brave Mint,10,,0
Bright Powder,10,,0
Bug Memory,50,,0
Burn Drive,70,,0
Burn Heal,30,,0
Calcium,30,,0
Calm Mint,10,,0
Cameruptite,80,,0
Carbos,30,,0
Careful Mint,10,,0
Casteliacone,30,,0
Cell Battery,30,,0
Chandelurite,80,,0
Charcoal,30,,0
Charizardite X,80,,0
Charizardite Y,80,,0
Charti Berry,10,ROCK,80
Cheri Berry,10,FIRE,80
Chesnaughtite,80,,0
Chesto Berry,10,WATER,80
