# Regional Pokedex orders for the client's new tabs, one species per line in the region's own order.
# National dex numbers. Source: PokeAPI data/v2/csv/pokemon_dex_numbers.csv (2026-09-14), latest dexes
# with DLC, a species listed once per tab at its first appearance:
# 6 Kalos = kalos-central + kalos-coastal + kalos-mountain; 7 Alola = updated-alola (USUM);
# 8 Galar = galar + isle-of-armor + crown-tundra; 9 Paldea = paldea + kitakami + blueberry.
tab,national
6,650
6,651
6,652
6,653
6,654
6,655
6,656
6,657
6,658
6,659
6,660
6,263
6,264
6,661
6,662
6,663
6,16
6,17
6,18
6,664
6,665
6,666
6,10
6,11
6,12
6,13
6,14
6,15
6,511
6,512
6,513
6,514
6,515
6,516
6,172
6,25
6,26
6,399
6,400
6,206
6,298
6,183
6,184
6,412
6,413
6,414
6,283
6,284
6,129
6,130
6,341
6,342
6,118
6,119
6,318
6,319
6,667
6,668
6,54
6,55
6,83
6,447
6,448
6,280
6,281
6,282
6,475
6,669
6,670
6,671
6,406
6,315
6,407
6,165
6,166
6,415
6,416
6,300
6,301
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
6,672
6,673
6,674
6,675
6,676
6,84
6,85
6,311
6,312
6,316
6,317
6,559
6,560
6,63
6,64
6,65
6,43
6,44
6,45
6,182
6,161
6,162
6,290
6,291
6,292
6,677
6,678
6,352
6,679
6,680
6,681
6,543
6,544
6,545
6,531
6,235
6,453
6,454
6,580
6,581
6,682
6,683
6,684
6,685
6,313
6,314
6,187
6,188
6,189
6,446
6,143
6,293
6,294
6,295
6,307
6,308
6,41
6,42
6,169
6,610
6,611
6,612
6,719
6,720
6,721
6,425
6,426
6,619
6,620
6,335
6,336
6,325
6,326
6,359
6,686
6,687
6,337
6,338
6,371
6,372
6,373
6,278
6,279
6,276
6,277
6,688
6,689
6,557
6,558
6,72
6,73
6,320
6,321
6,370
6,690
6,691
6,692
6,693
6,120
6,121
6,90
6,91
6,211
6,116
6,117
6,230
6,369
6,551
6,552
6,553
6,694
6,695
6,449
6,450
6,111
6,112
6,464
6,95
6,208
6,527
6,528
6,66
6,67
6,68
6,104
6,105
6,115
6,303
6,696
6,697
6,698
6,699
6,142
6,597
6,598
6,209
6,210
6,309
6,310
6,228
6,229
6,133
6,134
6,135
6,136
6,196
6,197
6,470
6,471
6,700
6,587
6,193
6,469
6,701
6,561
6,622
6,623
6,299
6,476
6,296
6,297
6,538
6,539
6,396
6,397
6,398
6,434
6,435
6,29
6,30
6,31
6,32
6,33
6,34
6,702
6,433
6,358
6,439
6,122
6,577
6,578
6,579
6,360
6,202
6,524
6,525
6,526
6,302
6,703
6,128
6,241
6,179
6,180
6,181
6,127
6,214
6,417
6,79
6,80
6,199
6,102
6,103
6,441
6,458
6,226
6,366
6,367
6,368
6,223
6,224
6,222
6,170
6,171
6,594
6,131
6,144
6,145
6,146
6,50
6,51
6,328
6,329
6,330
6,443
6,444
6,445
6,74
6,75
6,76
6,218
6,219
6,213
6,451
6,452
6,194
6,195
6,704
6,705
6,706
6,588
6,589
6,616
6,617
6,69
6,70
6,71
6,455
6,92
6,93
6,94
6,60
6,61
6,62
6,186
6,23
6,24
6,618
6,339
6,340
6,509
6,510
6,261
6,262
6,504
6,505
6,624
6,625
6,707
6,198
6,430
6,590
6,591
6,270
6,271
6,272
6,418
6,419
6,550
6,708
6,709
6,710
6,711
6,607
6,608
6,609
6,479
6,81
6,82
6,462
6,100
6,101
6,568
6,569
6,220
6,221
6,473
6,712
6,713
6,613
6,614
6,238
6,124
6,582
6,583
6,584
6,459
6,460
6,225
6,215
6,461
6,532
6,533
6,534
6,324
6,27
6,28
6,304
6,305
6,306
6,246
6,247
6,248
6,631
6,632
6,167
6,168
6,21
6,22
6,615
6,227
6,714
6,715
6,207
6,472
6,163
6,164
6,174
6,39
6,40
6,353
6,354
6,570
6,571
6,574
6,575
6,576
6,438
6,185
6,327
6,216
6,217
6,108
6,463
6,123
6,212
6,132
6,333
6,334
6,621
6,633
6,634
6,635
6,147
6,148
6,149
6,716
6,717
6,718
6,150
7,722
7,723
7,724
7,725
7,726
7,727
7,728
7,729
7,730
7,731
7,732
7,733
7,734
7,735
7,19
7,20
7,10
7,11
7,12
7,165
7,166
