# regionId;locationId;locationNameFull  (DS regions: locationId == map header = map<<8|bank)
0;10241;Victory Road (2F)
0;10243;Route 21 (South)
0;1025;S.S. Anne
0;10497;Victory Road (3F)
0;10499;Route 22
0;10755;Route 23
0;11011;Route 24
0;11267;Route 25
0;11523;Kindle Road
0;11779;Treasure Beach
0;12035;Cape Brink
0;12291;Bond Bridge
0;12547;Three Isle Port
0;1283;Vermilion City
0;13827;Resort Gorgeous
0;14083;Water Labyrinth
0;14339;Five Isle Meadow
0;14595;Memorial Pillar
0;14851;Outcast Island
0;15105;Pokémon Mansion (1F)
0;15107;Green Path
0;15361;Pokémon Mansion (2F)
0;15363;Water Path
0;1539;Celadon City
0;15617;Pokémon Mansion (3F)
0;15619;Ruin Valley
0;15873;Pokémon Mansion (B1F)
0;15875;Trainer Tower
0;16129;Safari Zone (Center Area)
0;16131;Canyon Entrance
0;16385;Safari Zone (East Area)
0;16387;Sevault Canyon
0;16641;Safari Zone (North Area)
0;16643;Tanoby Ruins
0;16897;Safari Zone (West Area)
0;1795;Fuchsia City
0;18433;Cerulean Cave (1F)
0;18689;Cerulean Cave (2F)
0;18945;Cerulean Cave (B1F)
0;1;Viridian Forest
0;2051;Cinnabar Island
0;20737;Rock Tunnel (1F)
0;20993;Rock Tunnel (B1F)
0;21249;Seafoam Islands (1F)
0;21505;Seafoam Islands (B1F)
0;21761;Seafoam Islands (B2F)
0;22017;Seafoam Islands (B3F)
0;22273;Seafoam Islands (B4F)
0;23041;Pokémon Tower (3F)
0;23297;Pokémon Tower (4F)
0;23553;Pokémon Tower (5F)
0;23809;Pokémon Tower (6F)
0;24065;Pokémon Tower (7F)
0;24321;Power Plant
0;24833;Mt. Ember (Outside)
0;25089;Mt. Ember (1F)
0;25345;Mt. Ember (2F)
0;25601;Mt. Ember (3F)
0;257;Mt. Moon (1F)
0;259;Viridian City
0;26369;Mt. Ember (B1F)
0;26625;Mt. Ember (B2F)
0;26881;Mt. Ember (B3F)
0;27137;Mt. Ember (B4F)
0;27393;Mt. Ember (B3F)
0;27649;Mt. Ember (B2F)
0;27905;Berry Forest
0;28161;Icefall Cave
0;28417;Icefall Cave (Inner)
0;28673;Icefall Cave (B1F)
0;28929;Icefall Cave (Back Room)
0;3075;One Island
0;30977;Pattern Bush
0;31233;Altering Cave
0;3330;Lost Cave (???)
0;3586;Lost Cave (???)
0;3842;Lost Cave (???)
0;3843;Four Island
0;3;Pallet Town
0;4098;Lost Cave (???)
0;4099;Five Island
0;4354;Lost Cave (???)
0;4610;Lost Cave (???)
0;4866;Lost Cave (???)
0;4867;Route 1
0;5122;Lost Cave (???)
0;5123;Route 2
0;513;Mt. Moon (B1F)
0;5378;Lost Cave (???)
0;5379;Route 3
0;5634;Lost Cave (???)
0;5635;Route 4
0;5890;Lost Cave (???)
0;5891;Route 5
0;6146;Lost Cave (???)
0;6147;Route 6
0;6402;Lost Cave (???)
0;6403;Route 7
0;6658;Lost Cave (???)
0;6659;Route 8
0;6914;Monean Chamber
0;6915;Route 9
0;7170;Liptoo Chamber
0;7171;Route 10
0;7426;Weepth Chamber
0;7427;Route 11
0;7682;Dilford Chamber
0;7683;Route 12
0;769;Mt. Moon (B2F)
0;771;Cerulean City
0;7938;Scufib Chamber
0;7939;Route 13
0;8194;Rixy Chamber
0;8195;Route 14
0;8450;Viapois Chamber
0;8451;Route 15
0;8707;Route 16
0;8963;Route 17
0;9219;Route 18
0;9473;Diglett'S Cave (B1F)
0;9475;Route 19
0;9731;Route 20
0;9985;Victory Road (1F)
0;9987;Route 21 (North)
1;10034;Route 124
1;10058;Cave Of Origin
1;10290;Route 125
1;10314;Cave Of Origin
1;10546;Route 126
1;10570;Cave Of Origin
1;10802;Route 127
1;1098;Rusturf Tunnel
1;11058;Route 128
1;11082;Victory Road (1F)
1;11314;Route 129
1;11338;Victory Road (B1F)
1;11570;Route 130
1;11594;Victory Road (B2F)
1;11826;Route 131
1;11850;Shoal Cave (Entrance)
1;12082;Route 132
1;12106;Shoal Cave (1F)
1;12338;Route 133
1;12362;Shoal Cave (B1F)
1;12594;Route 134
1;12618;Shoal Cave (B1F)
1;12850;Underwater (Route 124)
1;12874;Shoal Cave (Entrance)
1;13106;Underwater (Route 126)
1;13130;Shoal Cave (1F)
1;1330;Lilycove City
1;13386;New Mauville (Entrance)
1;13642;New Mauville (Interior)
1;14922;Abandoned Ship
1;1586;Mossdeep City
1;16714;Abandoned Ship
1;18250;Sealed Chamber
1;1842;Sootopolis City
1;1866;Granite Cave (1F)
1;18762;Scorched Slab
1;19530;Aqua Hideout
1;20298;Sky Pillar (1F)
1;20554;Sky Pillar (2F)
1;20810;Sky Pillar (3F)
1;2098;Ever Grande City
1;21066;Sky Pillar (4F)
1;2122;Granite Cave (B1F)
1;21322;Shoal Cave (B2F)
1;21578;Sky Pillar (5F)
1;22090;Magma Hideout
1;22346;Magma Hideout
1;22602;Magma Hideout
1;22858;Magma Hideout
1;23114;Magma Hideout
1;23370;Magma Hideout
1;23626;Magma Hideout
1;2378;Granite Cave (B2F)
1;23882;Magma Hideout
1;24138;Mirage Tower (1F)
1;24394;Mirage Tower (2F)
1;24650;Mirage Tower (3F)
1;24906;Mirage Tower (4F)
1;25162;Desert Underpass
1;25418;Artisan Cave (B1F)
1;25674;Artisan Cave (1F)
1;2634;Granite Cave (Back Room)
1;27210;Altering Cave
1;27466;Meteor Falls (Northwest Room)
1;2866;Dewford Town
1;2890;Petalburg Woods
1;306;Slateport City
1;3148;Safari Zone (Northeast Area)
1;330;Meteor Falls (Upper Interior)
1;332;Safari Zone (North Area)
1;3402;Jagged Pass
1;3404;Safari Zone (Southeast Area)
1;3658;Fiery Path
1;3660;Battle Frontier
1;3890;Pacifidlog Town
1;3914;Mt. Pyre (1F)
1;4146;Route 101
1;4170;Mt. Pyre (2F)
1;4402;Route 102
1;4426;Mt. Pyre (3F)
1;4658;Route 103
1;4682;Mt. Pyre (4F)
1;4914;Route 104
1;4938;Mt. Pyre (5F)
1;50;Petalburg City
1;5170;Route 105
1;5194;Mt. Pyre (6F)
1;5426;Route 106
1;5450;Mt. Pyre (Mountainside)
1;5682;Route 107
1;5706;Mt. Pyre (Summit)
1;586;Meteor Falls (Lower Interior)
1;588;Safari Zone (Southwest Area)
1;5938;Route 108
1;5962;Aqua Hideout
1;6194;Route 109
1;6450;Route 110
1;6474;Aqua Hideout
1;6706;Route 111
1;6962;Route 112
1;6986;Seafloor Cavern
1;7218;Route 113
1;7242;Seafloor Cavern
1;7474;Route 114
1;7498;Seafloor Cavern
1;74;Meteor Falls (Entrance)
1;76;Safari Zone (Northwest Area)
1;7730;Route 115
1;7754;Seafloor Cavern
1;7986;Route 116
1;8010;Seafloor Cavern
1;818;Rustboro City
1;8242;Route 117
1;8266;Seafloor Cavern
1;842;Meteor Falls (Back Room)
1;844;Safari Zone (South Area)
1;8498;Route 118
1;8522;Seafloor Cavern
1;8754;Route 119
1;8778;Seafloor Cavern
1;9010;Route 120
1;9034;Seafloor Cavern
1;9266;Route 121
1;9522;Route 122
1;9546;Cave Of Origin (Entrance)
1;9778;Route 123
1;9802;Cave Of Origin (1F)
2;113;Icirrus City
2;152;Dreamyard
2;153;Dreamyard (B1F)
2;154;Pinwheel Forest (Outer)
2;155;Pinwheel Forest (Inner)
2;157;Desert Resort (Outer)
2;158;Desert Resort (Inner)
2;160;Relic Castle (1F)
2;161;Relic Castle (B1F)
2;162;Relic Castle (B2F)
2;163;Relic Castle (B3F)
2;164;Relic Castle (B4F)
2;165;Relic Castle (B5F)
2;166;Relic Castle (B6F)
2;167;Relic Castle (Depths)
2;168;Relic Castle (Depths)
2;169;Relic Castle (Depths)
2;170;Relic Castle (Depths)
2;171;Relic Castle (Depths)
2;172;Relic Castle (Depths)
2;173;Relic Castle (Depths)
2;174;Relic Castle (Depths)
2;175;Relic Castle (Depths)
2;176;Relic Castle (Depths)
2;177;Relic Castle (Depths)
2;178;Relic Castle (Depths)
2;179;Relic Castle (Depths)
2;180;Relic Castle (Depths)
2;181;Relic Castle (Depths)
2;182;Relic Castle (Depths)
2;183;Relic Castle (B6F)
2;184;Relic Castle (B6F)
2;185;Relic Castle (B5F)
2;186;Relic Castle (B4F)
2;187;Relic Castle (B3F)
2;188;Relic Castle (B2F)
2;189;Relic Castle (B1F)
2;190;Relic Castle (1F)
2;191;Cold Storage
2;194;Chargestone Cave
2;195;Chargestone Cave (1F)
2;196;Chargestone Cave (B1F)
2;197;Chargestone Cave (B2F)
2;198;Twist Mountain (Outside)
2;200;Twist Mountain (Tunnel)
2;201;Twist Mountain (Tunnel)
2;202;Twist Mountain (Tunnel)
2;203;Twist Mountain (Cold Room)
2;205;Dragonspiral Tower (Outside)
2;206;Dragonspiral Tower (Entryway)
2;207;Dragonspiral Tower (1F)
2;208;Dragonspiral Tower (2F)
2;213;Dragonspiral Tower (7F)
2;214;Victory Road (Outside)
2;215;Victory Road (1F)
2;216;Victory Road (2F)
2;217;Victory Road (3F)
2;218;Victory Road (4F)
2;219;Victory Road (2F)
2;220;Victory Road (1F)
2;221;Victory Road (3F)
2;222;Victory Road (1F)
2;223;Victory Road (3F)
2;224;Victory Road (4F)
2;225;Victory Road (5F)
2;226;Victory Road (6F)
2;227;Victory Road (6F)
2;228;Victory Road (7F)
2;229;Trial Chamber
2;230;Giant Chasm (Entrance)
2;231;Giant Chasm (Cave)
2;232;Giant Chasm (Forest)
2;234;Giant Chasm (Cave)
2;238;P2 Laboratory
2;240;Undella Bay
2;253;Driftveil Drawbridge
2;255;Village Bridge
2;263;Marvelous Bridge
2;317;Route 1
2;319;Route 2
2;321;Route 3
2;324;Wellspring Cave (1F)
2;325;Wellspring Cave (B1F)
2;326;Route 4
2;329;Route 5
2;331;Route 6
2;333;Mistralton Cave (1F)
2;334;Mistralton Cave (2F)
2;335;Guidance Chamber
2;337;Route 7
2;339;Celestial Tower (2F)
2;340;Celestial Tower (3F)
2;341;Celestial Tower (4F)
2;342;Celestial Tower (Rooftop)
2;345;Route 8
2;346;Moor of Icirrus
2;348;Route 9
2;352;Challenger's Cave (1F)
2;353;Challenger's Cave (B1F)
2;354;Challenger's Cave (B2F)
2;355;Route 10
2;358;Route 10 (Gate)
2;365;Route 11
2;368;Route 12
2;370;Route 13
2;374;Route 14
2;376;Abundant Shrine
2;378;Route 15
2;383;Route 16
2;385;Lostlorn Forest
2;387;Route 18
2;412;Undella Town
2;423;Route 17
2;6;Striaton City
2;96;Driftveil City
3;120;Pastoria City
3;150;Sunyshore City
3;172;Pokémon League
3;198;Oreburgh Mine (1F)
3;199;Oreburgh Mine (B1F)
3;1;Honey Tree
3;200;Valley Windworks
3;203;Eterna Forest
3;204;Fuego Ironworks
3;207;Mt. Coronet (1F West)
3;208;Mt. Coronet (2F)
3;209;Mt. Coronet (3F)
3;210;Mt. Coronet (North Mountainside)
3;211;Mt. Coronet (South Mountainside)
3;212;Mt. Coronet (4F South)
3;213;Mt. Coronet (4F North)
3;214;Mt. Coronet (5F)
3;215;Mt. Coronet (6F)
3;216;Mt. Coronet (Center)
3;217;Mt. Coronet (1F North)
