move;name;donor;donorName;how
733;Terrain Pulse;427;Psycho Cut;overlap score=6 sharedTemplates=0
734;Skitter Smack;425;Shadow Sneak;overlap score=7 sharedTemplates=0
735;Burning Jealousy;473;Psyshock;overlap score=9 sharedTemplates=0
736;Lash Out;246;Ancient Power;overlap score=14 sharedTemplates=2
737;Poltergeist;425;Shadow Sneak;overlap score=7 sharedTemplates=0
738;Corrosive Gas;499;Clear Smog;overlap score=4 sharedTemplates=0
739;Coaching;150;Splash;overlap score=4 sharedTemplates=0
740;Flip Turn;127;Waterfall;overlap score=8 sharedTemplates=1
741;Triple Axel;524;Frost Breath;overlap score=4 sharedTemplates=0
742;Dual Wingbeat;332;Aerial Ace;overlap score=3 sharedTemplates=0
743;Scorching Sands;488;Flame Charge;overlap score=14 sharedTemplates=2
744;Jungle Healing;312;Aromatherapy;overlap score=4 sharedTemplates=0
745;Wicked Blow;246;Ancient Power;overlap score=14 sharedTemplates=2
746;Surging Strikes;55;Water Gun;overlap score=8 sharedTemplates=1
747;Thunder Cage;85;Thunderbolt;overlap score=9 sharedTemplates=1
748;Dragon Energy;528;Wild Charge;overlap score=16 sharedTemplates=2
749;Freezing Glare;137;Glare;overlap score=9 sharedTemplates=1
750;Fiery Wrath;451;Charge Beam;overlap score=9 sharedTemplates=0
751;Thunderous Kick;528;Wild Charge;overlap score=17 sharedTemplates=2
752;Glacial Lance;8;Ice Punch;overlap score=6 sharedTemplates=0
753;Astral Barrage;223;Dynamic Punch;overlap score=11 sharedTemplates=1
754;Eerie Spell;180;Spite;overlap score=4 sharedTemplates=0
755;Dire Claw;306;Crush Claw;overlap score=9 sharedTemplates=1
756;Psyshield Bash;36;Take Down;overlap score=17 sharedTemplates=2
757;Power Shift;179;Reversal;overlap score=2 sharedTemplates=0
758;Stone Axe;350;Rock Blast;overlap score=9 sharedTemplates=1
759;Springtide Storm;13;Razor Wind;overlap score=4 sharedTemplates=0
760;Mystical Power;326;Extrasensory;overlap score=4 sharedTemplates=0
761;Raging Fury;131;Spike Cannon;overlap score=11 sharedTemplates=1
762;Wave Crash;528;Wild Charge;overlap score=11 sharedTemplates=1
763;Chloroblast;434;Draco Meteor;overlap score=12 sharedTemplates=0
764;Mountain Gale;545;Searing Shot;overlap score=4 sharedTemplates=0
765;Victory Dance;349;Dragon Dance;overlap score=4 sharedTemplates=0
766;Headlong Rush;224;Megahorn;overlap score=16 sharedTemplates=2
767;Barb Barrage;91;Dig;overlap score=4 sharedTemplates=0
768;Esper Wing;427;Psycho Cut;overlap score=8 sharedTemplates=1
769;Bitter Malice;558;Fusion Flare;overlap score=9 sharedTemplates=0
770;Shelter;504;Shell Smash;overlap score=11 sharedTemplates=2
771;Triple Arrows;223;Dynamic Punch;overlap score=6 sharedTemplates=0
772;Infernal Parade;325;Shadow Punch;overlap score=7 sharedTemplates=0
773;Ceaseless Edge;394;Flare Blitz;overlap score=16 sharedTemplates=2
774;Bleakwind Storm;413;Brave Bird;overlap score=6 sharedTemplates=0
775;Wildbolt Storm;466;Ominous Wind;overlap score=7 sharedTemplates=0
776;Sandsear Storm;558;Fusion Flare;overlap score=9 sharedTemplates=0
777;Lunar Blessing;461;Lunar Dance;overlap score=11 sharedTemplates=1
778;Take Heart;287;Refresh;overlap score=3 sharedTemplates=0
779;Tera Blast;439;Rock Wrecker;overlap score=26 sharedTemplates=2
780;Silk Trap;527;Electroweb;overlap score=9 sharedTemplates=1
781;Axe Kick;136;High Jump Kick;overlap score=11 sharedTemplates=2
782;Last Respects;101;Night Shade;overlap score=4 sharedTemplates=0
783;Lumina Crash;430;Flash Cannon;overlap score=11 sharedTemplates=0
784;Order Up;292;Arm Thrust;overlap score=9 sharedTemplates=1
785;Jet Punch;127;Waterfall;overlap score=18 sharedTemplates=3
786;Spicy Extract;558;Fusion Flare;overlap score=9 sharedTemplates=0
787;Spin Out;229;Rapid Spin;overlap score=13 sharedTemplates=1
788;Population Bomb;376;Trump Card;overlap score=9 sharedTemplates=1
789;Ice Spinner;229;Rapid Spin;overlap score=12 sharedTemplates=1
790;Glaive Rush;525;Dragon Tail;overlap score=17 sharedTemplates=2
791;Revival Blessing;14;Swords Dance;stat fallback
792;Salt Cure;301;Ice Ball;overlap score=1 sharedTemplates=0
793;Triple Dive;291;Dive;overlap score=7 sharedTemplates=1
794;Mortal Spin;229;Rapid Spin;overlap score=12 sharedTemplates=1
795;Doodle;166;Sketch;overlap score=8 sharedTemplates=1
796;Fillet Away;548;Secret Sword;overlap score=11 sharedTemplates=1
797;Kowtow Cleave;428;Zen Headbutt;overlap score=9 sharedTemplates=1
798;Flower Trick;227;Encore;overlap score=20 sharedTemplates=1
799;Torch Song;304;Hyper Voice;overlap score=17 sharedTemplates=1
800;Aqua Step;229;Rapid Spin;overlap score=10 sharedTemplates=1
801;Raging Bull;38;Double-Edge;overlap score=22 sharedTemplates=2
802;Make It Rain;6;Pay Day;overlap score=15 sharedTemplates=2
803;Ruination;262;Memento;overlap score=14 sharedTemplates=0
804;Collision Course;559;Fusion Bolt;overlap score=21 sharedTemplates=1
805;Electro Drift;559;Fusion Bolt;overlap score=18 sharedTemplates=1
806;Shed Tail;39;Tail Whip;overlap score=4 sharedTemplates=0
807;Chilly Reception;67;Low Kick;overlap score=8 sharedTemplates=1
808;Tidy Up;427;Psycho Cut;overlap score=6 sharedTemplates=0
809;Snowscape;196;Icy Wind;overlap score=5 sharedTemplates=0
810;Pounce;401;Aqua Tail;overlap score=9 sharedTemplates=1
811;Trailblaze;488;Flame Charge;overlap score=19 sharedTemplates=2
812;Chilling Water;491;Acid Spray;overlap score=15 sharedTemplates=2
813;Hyper Drill;13;Razor Wind;overlap score=1 sharedTemplates=0
814;Twin Beam;149;Psywave;overlap score=4 sharedTemplates=0
815;Rage Fist;218;Frustration;overlap score=16 sharedTemplates=1
816;Armor Cannon;430;Flash Cannon;overlap score=16 sharedTemplates=2
817;Bitter Blade;315;Overheat;overlap score=4 sharedTemplates=0
818;Double Shock;550;Bolt Strike;overlap score=10 sharedTemplates=1
819;Gigaton Hammer;452;Wood Hammer;overlap score=16 sharedTemplates=1
820;Comeuppance;218;Frustration;overlap score=11 sharedTemplates=0
821;Aqua Cutter;401;Aqua Tail;overlap score=14 sharedTemplates=2
822;Blazing Torque;387;Last Resort;overlap score=25 sharedTemplates=2
823;Wicked Torque;38;Double-Edge;overlap score=22 sharedTemplates=2
824;Noxious Torque;387;Last Resort;overlap score=25 sharedTemplates=2
825;Combat Torque;387;Last Resort;overlap score=25 sharedTemplates=2
826;Magical Torque;38;Double-Edge;overlap score=22 sharedTemplates=2
827;Psyblade;428;Zen Headbutt;overlap score=9 sharedTemplates=1
828;Hydro Steam;503;Scald;overlap score=7 sharedTemplates=0
829;Blood Moon;416;Giga Impact;overlap score=11 sharedTemplates=1
830;Matcha Gotcha;394;Flare Blitz;overlap score=16 sharedTemplates=2
831;Syrup Bomb;345;Magical Leaf;stat fallback
832;Ivy Cudgel;452;Wood Hammer;overlap score=10 sharedTemplates=0
833;Electro Shot;451;Charge Beam;overlap score=15 sharedTemplates=1
834;Tera Starstorm;528;Wild Charge;overlap score=10 sharedTemplates=1
835;Fickle Beam;63;Hyper Beam;overlap score=7 sharedTemplates=0
836;Burning Bulwark;172;Flame Wheel;overlap score=8 sharedTemplates=1
837;Thunderclap;87;Thunder;overlap score=10 sharedTemplates=1
838;Mighty Cleave;428;Zen Headbutt;overlap score=12 sharedTemplates=1
839;Tachyon Cutter;229;Rapid Spin;overlap score=1 sharedTemplates=0
840;Hard Press;462;Crush Grip;overlap score=6 sharedTemplates=1
841;Dragon Cheer;336;Howl;overlap score=6 sharedTemplates=0
842;Alluring Voice;304;Hyper Voice;overlap score=14 sharedTemplates=1
843;Temper Flare;99;Rage;overlap score=12 sharedTemplates=1
844;Supercell Slam;34;Body Slam;overlap score=20 sharedTemplates=3
845;Psychic Noise;253;Uproar;overlap score=14 sharedTemplates=2
846;Upper Hand;395;Force Palm;overlap score=15 sharedTemplates=2
847;Malignant Chain;132;Constrict;overlap score=5 sharedTemplates=0
848;Breakneck Blitz;387;Last Resort;overlap score=20 sharedTemplates=2
849;All-Out Pummeling;524;Frost Breath;overlap score=16 sharedTemplates=2
850;Supersonic Skystrike;524;Frost Breath;overlap score=14 sharedTemplates=2
851;Acid Downpour;524;Frost Breath;overlap score=16 sharedTemplates=2
852;Tectonic Rage;464;Dark Void;overlap score=13 sharedTemplates=2
853;Continental Crush;327;Sky Uppercut;overlap score=17 sharedTemplates=2
854;Savage Spin-Out;545;Searing Shot;overlap score=11 sharedTemplates=0
855;Never-Ending Nightmare;545;Searing Shot;overlap score=11 sharedTemplates=0
856;Corkscrew Crash;524;Frost Breath;overlap score=16 sharedTemplates=2
857;Inferno Overdrive;545;Searing Shot;overlap score=14 sharedTemplates=0
858;Hydro Vortex;550;Bolt Strike;overlap score=17 sharedTemplates=2
859;Bloom Doom;312;Aromatherapy;overlap score=12 sharedTemplates=2
860;Gigavolt Havoc;85;Thunderbolt;overlap score=15 sharedTemplates=2
861;Shattered Psyche;68;Counter;overlap score=13 sharedTemplates=2
862;Subzero Slammer;554;Ice Burn;overlap score=20 sharedTemplates=2
863;Devastating Drake;558;Fusion Flare;overlap score=13 sharedTemplates=0
864;Black Hole Eclipse;117;Bide;overlap score=16 sharedTemplates=2
865;Twinkle Tackle;321;Tickle;overlap score=5 sharedTemplates=0
866;Catastropika;550;Bolt Strike;overlap score=20 sharedTemplates=2
867;10,000,000 Volt Thunderbolt;545;Searing Shot;overlap score=14 sharedTemplates=0
869;Stoked Sparksurfer;344;Volt Tackle;overlap score=20 sharedTemplates=1
870;Extreme Evoboost;449;Judgment;overlap score=6 sharedTemplates=0
871;Pulverizing Pancake;545;Searing Shot;overlap score=10 sharedTemplates=0
872;Genesis Supernova;558;Fusion Flare;overlap score=16 sharedTemplates=1
873;Sinister Arrow Raid;558;Fusion Flare;overlap score=7 sharedTemplates=0
874;Malicious Moonsault;528;Wild Charge;overlap score=18 sharedTemplates=3
875;Oceanic Operetta;558;Fusion Flare;overlap score=11 sharedTemplates=0
876;Splintered Stormshards;218;Frustration;overlap score=12 sharedTemplates=1
877;Let's Snuggle Forever;187;Belly Drum;overlap score=8 sharedTemplates=1
878;Clangorous Soulblaze;464;Dark Void;overlap score=23 sharedTemplates=4
879;Guardian of Alola;90;Fissure;overlap score=16 sharedTemplates=1
880;Searing Sunraze Smash;387;Last Resort;overlap score=21 sharedTemplates=2
881;Menacing Moonraze Maelstrom;387;Last Resort;overlap score=20 sharedTemplates=2
882;Light That Burns the Sky;550;Bolt Strike;overlap score=11 sharedTemplates=0
883;Soul-Stealing 7-Star Strike;553;Freeze Shock;overlap score=10 sharedTemplates=0
884;Max Guard;182;Protect;script goto
894;Max Flare;307;Blast Burn;script goto
891;Max Flutterby;405;Bug Buzz;script goto
897;Max Lightning;209;Spark;stat fallback
885;Max Strike;12;Guillotine;stat fallback
886;Max Knuckle;370;Close Combat;script goto
892;Max Phantasm;247;Shadow Ball;script goto
899;Max Hailstorm;329;Sheer Cold;script goto
888;Max Ooze;40;Poison Sting;stat fallback
895;Max Geyser;308;Hydro Cannon;script goto
887;Max Airstream;64;Peck;stat fallback
902;Max Starfall;585;Moonblast;script goto
900;Max Wyrmwind;460;Spacial Rend;script goto
898;Max Mindstorm;354;Psycho Boost;script goto
890;Max Rockfall;439;Rock Wrecker;script goto
889;Max Quake;90;Fissure;script goto
901;Max Darkness;399;Dark Pulse;script goto
896;Max Overgrowth;338;Frenzy Plant;script goto
893;Max Steelspike;484;Heavy Slam;script goto
903;G-Max Vine Lash;331;Bullet Seed;stat fallback
904;G-Max Wildfire;535;Heat Crash;stat fallback
905;G-Max Cannonade;128;Clamp;stat fallback
