symbol,wireId,slug,nationalDex
SPECIES_CHESPIN,668,chespin,650
SPECIES_QUILLADIN,669,quilladin,651
SPECIES_CHESNAUGHT,670,chesnaught,652
SPECIES_FENNEKIN,671,fennekin,653
SPECIES_BRAIXEN,672,braixen,654
SPECIES_DELPHOX,673,delphox,655
SPECIES_FROAKIE,674,froakie,656
SPECIES_FROGADIER,675,frogadier,657
SPECIES_GRENINJA,676,greninja,658
SPECIES_BUNNELBY,677,bunnelby,659
SPECIES_DIGGERSBY,678,diggersby,660
SPECIES_FLETCHLING,679,fletchling,661
SPECIES_FLETCHINDER,680,fletchinder,662
SPECIES_TALONFLAME,681,talonflame,663
SPECIES_SCATTERBUG_ICY_SNOW,682,scatterbug,664
SPECIES_SPEWPA_ICY_SNOW,683,spewpa,665
SPECIES_VIVILLON_ICY_SNOW,684,vivillon-icysnow,666
SPECIES_LITLEO,685,litleo,667
SPECIES_PYROAR,686,pyroar,668
SPECIES_FLABEBE_RED,687,flabebe,669
SPECIES_FLOETTE_RED,688,floette,670
SPECIES_FLORGES_RED,689,florges,671
SPECIES_SKIDDO,690,skiddo,672
SPECIES_GOGOAT,691,gogoat,673
SPECIES_PANCHAM,692,pancham,674
SPECIES_PANGORO,693,pangoro,675
SPECIES_FURFROU_NATURAL,694,furfrou,676
SPECIES_ESPURR,695,espurr,677
SPECIES_MEOWSTIC_M,696,meowstic,678
SPECIES_HONEDGE,697,honedge,679
SPECIES_DOUBLADE,698,doublade,680
SPECIES_AEGISLASH_SHIELD,699,aegislash,681
SPECIES_SPRITZEE,700,spritzee,682
SPECIES_AROMATISSE,701,aromatisse,683
SPECIES_SWIRLIX,702,swirlix,684
SPECIES_SLURPUFF,703,slurpuff,685
SPECIES_INKAY,704,inkay,686
SPECIES_MALAMAR,705,malamar,687
SPECIES_BINACLE,706,binacle,688
SPECIES_BARBARACLE,707,barbaracle,689
SPECIES_SKRELP,708,skrelp,690
SPECIES_DRAGALGE,709,dragalge,691
SPECIES_CLAUNCHER,710,clauncher,692
SPECIES_CLAWITZER,711,clawitzer,693
SPECIES_HELIOPTILE,712,helioptile,694
SPECIES_HELIOLISK,713,heliolisk,695
SPECIES_TYRUNT,714,tyrunt,696
SPECIES_TYRANTRUM,715,tyrantrum,697
SPECIES_AMAURA,716,amaura,698
SPECIES_AURORUS,717,aurorus,699
SPECIES_SYLVEON,718,sylveon,700
SPECIES_HAWLUCHA,719,hawlucha,701
SPECIES_DEDENNE,720,dedenne,702
SPECIES_CARBINK,721,carbink,703
SPECIES_GOOMY,722,goomy,704
SPECIES_SLIGGOO,723,sliggoo,705
SPECIES_GOODRA,724,goodra,706
SPECIES_KLEFKI,725,klefki,707
