# hdr;region;bank;map;header;scriptFile;levelScript;textBank;events
hdr;2;0;0;0;0;1;2;0
hdr;2;1;0;1;2;3;3;1
hdr;2;2;0;2;4;5;4;2
hdr;2;3;0;3;6;7;5;3
hdr;2;4;0;4;8;9;6;4
hdr;2;5;0;5;10;11;7;5
hdr;2;6;0;6;12;13;11;6
hdr;2;7;0;7;14;15;12;7
hdr;2;8;0;8;16;17;13;8
hdr;2;9;0;9;18;19;14;9
hdr;2;10;0;10;20;21;15;10
hdr;2;11;0;11;22;23;16;11
hdr;2;12;0;12;24;25;17;12
hdr;2;13;0;13;26;27;18;13
hdr;2;14;0;14;28;29;19;14
hdr;2;15;0;15;30;31;20;15
hdr;2;16;0;16;32;33;21;16
hdr;2;17;0;17;34;35;22;17
hdr;2;18;0;18;36;37;23;18
hdr;2;19;0;19;38;39;24;19
hdr;2;20;0;20;40;41;25;20
hdr;2;21;0;21;42;43;26;21
hdr;2;22;0;22;44;45;27;22
hdr;2;23;0;23;46;47;28;23
hdr;2;24;0;24;48;49;29;24
hdr;2;25;0;25;50;51;30;25
hdr;2;26;0;26;52;53;31;26
hdr;2;27;0;27;54;55;32;27
hdr;2;28;0;28;56;57;33;28
hdr;2;29;0;29;58;59;34;29
hdr;2;30;0;30;60;61;35;30
hdr;2;31;0;31;62;63;36;31
hdr;2;32;0;32;64;65;37;32
hdr;2;33;0;33;66;67;38;33
hdr;2;34;0;34;68;69;39;34
hdr;2;35;0;35;70;71;40;35
hdr;2;36;0;36;72;73;41;36
hdr;2;37;0;37;74;75;42;37
hdr;2;38;0;38;76;77;43;38
hdr;2;39;0;39;78;79;44;39
hdr;2;40;0;40;80;81;45;40
hdr;2;41;0;41;82;83;46;41
hdr;2;42;0;42;84;85;47;42
hdr;2;43;0;43;86;87;48;43
hdr;2;44;0;44;88;89;49;44
hdr;2;45;0;45;90;91;50;45
hdr;2;46;0;46;92;93;51;46
hdr;2;47;0;47;94;95;52;47
hdr;2;48;0;48;96;97;53;48
hdr;2;49;0;49;98;99;54;49
hdr;2;50;0;50;100;101;55;50
hdr;2;51;0;51;102;103;56;51
hdr;2;52;0;52;104;105;57;52
hdr;2;53;0;53;106;107;58;53
hdr;2;54;0;54;108;109;59;54
