gen5ItemIndex;spicy;dry;sweet;bitter;sour;growHours;firstWaterHours;otherWaterHours;reduceHours;witherHours;minYield;maxYield
149;3;0;0;0;0;16;3;2;2;8;3;6
150;0;3;0;0;0;16;3;2;2;8;3;6
151;0;0;3;0;0;16;3;2;2;8;3;6
152;0;0;0;0;3;16;3;2;2;8;3;6
153;0;0;0;3;0;16;3;2;2;8;3;6
154;1;1;1;0;0;16;3;2;2;8;3;6
155;0;1;0;1;1;16;3;2;2;8;3;6
156;1;2;0;0;0;16;3;2;2;8;3;6
157;0;1;2;0;0;16;3;2;2;8;3;6
158;0;0;2;1;0;16;3;2;2;8;3;6
159;0;0;0;1;2;16;3;2;2;8;3;6
160;1;0;0;0;2;16;3;2;2;8;3;6
161;2;0;1;1;0;20;3;2;2;8;5;7
162;4;0;0;0;0;20;3;2;2;8;4;7
163;0;4;0;0;0;20;3;2;2;8;4;7
164;0;0;4;0;0;20;3;2;2;8;4;7
165;0;0;0;4;0;20;3;2;2;8;4;7
166;0;0;0;0;4;20;3;2;2;8;4;7
167;0;3;1;0;0;20;3;2;2;8;4;7
168;0;0;3;1;0;20;3;2;2;8;4;7
169;0;0;0;3;1;20;3;2;2;8;4;7
170;1;0;0;0;3;20;3;2;2;8;4;7
171;4;1;0;0;0;42;3;3;2;8;7;9
172;0;4;1;0;0;42;3;2.5;2;8;7;9
173;0;0;4;1;0;42;3;2.5;2;8;7;9
174;0;0;0;4;1;42;3;3;2;8;7;9
175;1;0;0;0;4;42;3;3;2;8;7;9
176;3;0;2;0;0;42;3;3;2;8;7;9
177;0;3;0;2;0;42;3;3;2;8;7;9
178;0;0;3;0;2;42;3;3;2;8;7;9
179;2;0;0;3;0;42;3;3;2;8;7;9
180;0;2;0;0;3;42;3;3;2;8;7;9
181;3;0;0;2;0;42;3;3;2;8;7;9
182;0;3;0;0;2;42;3;3;2;8;7;9
183;2;0;3;0;0;42;3;3;2;8;7;9
184;0;2;0;3;0;42;3;3;2;8;7;9
185;0;0;2;0;3;42;3;3;2;8;7;9
186;3;0;0;0;2;42;3;3;2;8;7;9
187;2;3;0;0;0;42;3;3;2;8;7;9
188;0;2;3;0;0;42;3;3;2;8;7;9
189;0;0;2;3;0;42;3;3;2;8;7;9
190;2;0;0;0;3;42;3;3;2;8;7;9
191;3;2;0;0;0;42;3;3;2;8;7;9
192;0;3;2;0;0;42;3;3;2;8;7;9
193;4;2;0;0;0;42;3;3;2;8;7;10
194;3;0;0;1;0;44;3;3;2;8;7;9
195;0;3;0;0;1;44;3;3;2;8;7;9
196;1;0;3;0;0;44;3;3;2;8;7;9
197;0;1;0;3;0;44;3;3;2;8;7;9
198;0;0;1;0;3;44;3;3;2;8;7;9
199;3;1;0;0;0;44;3;3;2;8;7;9
200;0;4;2;0;0;44;3;3;2;8;7;10
201;0;0;4;2;0;44;3;3;2;8;7;10
202;0;0;0;4;2;44;3;3;2;8;7;10
203;2;0;0;0;4;44;3;3;2;8;7;10
204;2;2;2;0;0;44;3;3;2;8;7;10
205;0;0;2;2;2;44;3;3;2;8;7;10
206;2;1;2;0;0;67;3;3;2;8;10;13
207;0;2;1;2;0;67;3;3;2;8;10;13
208;0;0;2;1;2;67;3;3;2;8;10;13
209;2;0;0;2;1;67;3;3;2;8;10;13
210;1;2;0;0;2;67;3;3;2;8;10;13
211;0;2;2;2;0;67;3;3;2;8;11;13
212;2;0;2;0;2;67;3;3;2;8;11;13
